A MONSEIGNEVR LE DVC D’ESPERNON.	A MONSEIGNEUR LE DUC D’ÉPERNON.
C’eſtoit ce grand Cardinal qui a triomphé de tous les eſprits du monde & duquel la memoire ſera ſaincte tant qu’il y aura des autels, & qu’on fera des ſacrifice ſur la terre ;	C’était ce grand Cardinal qui a triomphé de tous les esprits du monde et duquel la mémoire sera sainte tant qu’il y aura des autels, et qu’on fera des sacrifice sur la terre;
c’eſtoit diſ-ie le Cardinal du Perron, qui pouuoit faire voir à Epicure meſmes quelque choſe au delà de cette vie, & rendre capable ſon ame de chair des plus grands ſecrets de la Religion Chreſtienne.	c’était dis-je le Cardinal du Perron, qui pouvait faire voir à Épicure mêmes quelque chose au delà de cette vie, et rendre capable son âme de chair des plus grands secrets de la Religion Chrétienne.
Encore qu’il euſt l’eſprit auſſi haut que celuy des Conquerans & des Monarques, toutesfois en ce qui eſtoit de la Religion, il l’auoit auſſi humble que celuy des vieilles & des enfans ;	Encore qu’il eût l’esprit aussi haut que celui des conquérants et des monarques, toutefois en ce qui était de la Religion, il l’avait aussi humble que celui des vieilles et des enfants;
& auec ces deux differentes qualitez combien de fois l’a-t’on veu impoſer ſilence à toute la Philoſophie, & parler des choſes diuines auec autant de lumiere & de certitude que s’il eut eſté deſia dans le Ciel, & qu’il euſt veu la verité toute nuë de laquelle nous n’auons icy bas que des ſentimens confus, & vne connoiſſance imparfaitte ? Pour ne vous deſguiſer point ce qui en eſt, ſans les ouurages de cét homme diuin, que i’eſtime autant que les victoires du feu Roy ſon Maiſtre, & ſur leſquels ie voudrois laiſſer les yeux quand il faut que i’en laiſſe la lecture, i’euſſe eu bien de la peine à me tirer du Liure que vous m’auez enuoyé.	et avec ces deux différentes qualités combien de fois l’a-t-on vu imposer silence à toute la Philosophie, et parler des choses divines avec autant de lumière et de certitude que s’il eut été déjà dans le Ciel, et qu’il eût vu la vérité toute nue de laquelle nous n’avons ici bas que des sentiments confus, et une connaissance imparfaite? Pour ne vous déguiser point ce qui en est, sans les ouvrages de cet homme divin, que j’estime autant que les victoires du feu Roi son maître, et sur lesquels je voudrais laisser les yeux quand il faut que j’en laisse la lecture, j’eusse eu bien de la peine à me tirer du livre que vous m’avez envoyé.
Le mal paſſe ſi aiſement iuſques à moy quand ie m’en approche, que ie ne ſçaurois regarder vn pauure ſans prendre la gale, & mon imagination eſt ſi delicate, qu’elle reçoit de la douleur de tous les obiects qui ne ſont pas beaux :	Le mal passe si aisément jusques à moi quand je m’en approche, que je ne saurais regarder un pauvre sans prendre la gale, et mon imagination est si délicate, qu’elle reçoit de la douleur de tous les objets qui ne sont pas beaux:
Neãtmoins, graces à Dieu, & au contrepoiſon que ie prenois d’heure à autre, ie me ſuis à la fin ſauué de la conſpiration que vous auiez faite contre moy, & la vie m’eſt demeurée de reſte apres auoir eſté entre les mains d’vn fol plus long-temps que ie n’euſſe deſiré.	Néanmoins, grâces à Dieu, et au contrepoison que je prenais d’heure à autre, je me suis à la fin sauvé de la conspiration que vous aviez faite contre moi, et la vie m’est demeurée de reste après avoir été entre les mains d’un fol plus longtemps que je n’eusse désiré.
Mais à ce que ie voy, il ne laiſſe pas d’eſtre eſtimé au lieu où vous eſtes, & de trouuer aſſez de gens qui les ſuiuent pour eſtre chef d’vn mauuais party.	Mais à ce que je vois, il ne laisse pas d’être estimé au lieu où vous êtes, et de trouver assez de gens qui les suivent pour être chef d’un mauvais parti.
A cela ie ne vous ſçaurois rien reſpondre, ſi ce n’eſt qu’entre cy-& les monts Pyrenees les bons eſprits s’eſloignent quelquesfois du ſens commun comme d’vne choſe trop populaire, & prennent ſouuent les fauſſes vertus, & ce qui ne reſsemble pas meſme au bien, pour les choſes veritables & parfaites.	À cela je ne vous saurais rien répondre, si ce n’est qu’entre-ci et les monts Pyrénées les bons esprits s’éloignent quelquefois du sens commun comme d’une chose trop populaire, et prennent souvent les fausses vertus, et ce qui ne ressemble pas même au bien, pour les choses véritables et parfaites.
Mais quand ie conſidere qu’il n’y a point eu de beſtes qui n’ayent eſté autresfois adorées, ny de maladie du corps & de l’eſprit à qui l’Antiquité n’ayt baſti des Temples, ie ne m’eſtonne point qu’on face eſtat de quelques-vns qui ne le meritent pas, & que les hommes donnent de la reputation à des ſots, puis qu’ils ont fait des vœux, & bruſlé de l’encens à des Crocodiles & à des Singes.	Mais quand je considère qu’il n’y a point eu de bêtes qui n’aient été autrefois adorées, ni de maladie du corps et de l’esprit à qui l’Antiquité n’ait bâti des Temples, je ne m’étonne point qu’on face état de quelques-uns qui ne le méritent pas, et que les hommes donnent de la réputation à des sots, puis qu’ils ont fait des vœux, et brûlé de l’encens à des Crocodiles et à des singes.
Tout ce qui me faſche en cecy c’eſt, qu’il faille que vous & moy ayons quelque ſorte d’obligation à l’Autheur de voſtre Liure, & que i’aye reçeu du dernier de tous les hommes les commencemens de mes eſtudes, & la premiere teinture des lettres.	Tout ce qui me fâche en ceci c’est, qu’il faille que vous et moi ayons quelque sorte d’obligation à l’Auteur de votre livre, et que j’aie reçu du dernier de tous les hommes les commencements de mes études, et la première teinture des lettres.
Mais quand à moy ie proteſte deuant tout le mõde, que pour cela ie ne ſuis point coupable des ſottiſes qu’il fera, ny de celles qu’il a faites, & qu’ayant eu beaucoup de peine à purifier mon eſprit des ordures du College, & à me deffaire d’vne mauuaiſe ſcience, ie ne pretens pas que des choſes que ie n’ay plus me puiſſent iamais eſtre reprochées.	Mais quand à moi je proteste devant tout le monde, que pour cela je ne suis point coupable des sottises qu’il fera, ni de celles qu’il a faites, et qu’ayant eu beaucoup de peine à purifier mon esprit des ordures du collège, et à me défaire d’une mauvaise science, je ne prétends pas que des choses que je n’ai plus me puissent jamais être reprochées.
Quoy qu’il en ſoit, ie ne laiſſerois pas d’eſtre chaſte encore que ma nourrice fuſt morte de la verolle, & il ſe peut bien faire qu’vn mauuais maſſon ait mis quelque pierre à la ſtructure du Louure, & au Palais de la Reyne Mere.	Quoi qu’il en soit, je ne laisserais pas d’être chaste encore que ma nourrice fût morte de la vérole, et il se peut bien faire qu’un mauvais maçon ait mis quelque pierre à la structure du Louvre, et au Palais de la Reine mère.
A MONSEIGNEVR LE DVC D’ESPERNON.	À MONSEIGNEUR LE DUC D’ÉPERNON.
Lettre XV.	Lettre XV.
Monseignevr, En ce grand ſilence de l’Eſtat, durant lequel il ſemble que les affaires ſe repoſent, tout la France attend que vous ſoyez à la Cour pour faire les nouuelles qu’elle ſouhaitte, & pour tirer de l’ame du Roy les bõnes intentions dont ell’eſt remplie.	Monseigneur, En ce grand silence de l’État, durant lequel il semble que les affaires se reposent, tout la France attend que vous soyez à la Cour pour faire les nouvelles qu’elle souhaite, et pour tirer de l’âme du Roi les bonnes intentions dont elle est remplie.
La reduction du Bearn qui n’a eſté tachée d’aucune goutte de ſang, la verité dont vous auez eſclaircy les eſprits que la Rochelle ſe pouuoit prendre, & l’ordre que vous venez de laiſser en Guyenne où vous auez reduit les factieux à ne pouuoir plus auoir que de mauuaiſes penſées, nous font eſperer que quand Dieu auroit remis à vn autre ſiecle le ſalut de noſtre Eſtat, ce ne peut-eſtre que vous à qui il reſerue vne ſi glorieuſe entrepriſe.	La réduction du Béarn qui n’a été tachée d’aucune goutte de sang, la vérité dont vous avez éclairci les esprits que la Rochelle se pouvait prendre, et l’ordre que vous venez de laisser en Guyenne où vous avez réduit les factieux à ne pouvoir plus avoir que de mauvaises pensées, nous font espérer que quand Dieu aurait remis à un autre siècle le salut de notre État, ce ne peut-être que vous à qui il réserve une si glorieuse entreprise.
Il eſt certain, Monſeigneur, qu’il ne fit iamais plus de miracles aux lieux qu’il a conſacrez luy-meſme à ſa gloire, & à la pieté publique, & qu’il a particulierement choiſis pour y monſtrer ſa puiſſance, qu’il en a fait en voſtre perſonne :	Il est certain, Monseigneur, qu’il ne fit jamais plus de miracles aux lieux qu’il a consacrez lui-même à sa gloire, et à la piété publique, et qu’il a particulièrement choisis pour y montrer sa puissance, qu’il en a fait en votre personne:
Et lors que ie penſe combien de fois il vous à ſauué contre toutes les apparences humaines, & la reſiſtence que vous auez euë à venir iuſques icy par des eſcueils & des precipices, ie croy tout de bon que vous auez paſſé le temps de mourir, & que pour le bien general du monde vous deuez autant durer que le Soleil & les Aſtres, Veritablement de quelque coſté que ie tourne les yeux, ſoit que ie les porte au delà de la Mer, ſoit que ie paſſe les montaignes qui nous ſeparent de nos voiſins, ie ne trouue perſonne qui puiſſe diſputer de la gloire auec vous, ny dont la vie ſoit pleine de lumiere comme la voſtre.	Et lors que je pense combien de fois il vous à sauvé contre toutes les apparences humaines, et la résistance que vous avez eue à venir jusques ici par des écueils et des précipices, je crois tout de bon que vous avez passé le temps de mourir, et que pour le bien général du monde vous devez autant durer que le soleil et les astres, véritablement de quelque côté que je tourne les yeux, soit que je les porte au delà de la Mer, soit que je passe les montagnes qui nous séparent de nos voisins, je ne trouve personne qui puisse disputer de la gloire avec vous, ni dont la vie soit pleine de lumière comme la vôtre.
I’ay conſideré à loiſir tout ce qui donne du prix & de la reputation à la Cour des Princes eſtrangers, & là certainement i’ay veu des hommes qui ſçauẽt l’art de la guerre, & qui ſe ſont faits vne grande prudence par vne infinité de reigles & de maximes ;	J’ai considéré à loisir tout ce qui donne du prix et de la réputation à la Cour des Princes étrangers, et là certainement j’ai vu des hommes qui savent l’art de la guerre, et qui se sont faits une grande prudence par une infinité de règles et de maximes;
mais la difference qu’il y a entre vous & ces gens-là, c’eſt qu’ils ne peuuent ſe remuer, ny ſe faire craindre qu’auecque les Indes, des armées, & des canons, & vous eſtes redoutable tout ſeul & tout nud, & voſtre repos meſme fait peur aux ennemis de la France.	mais la différence qu’il y a entre vous et ces gens-là, c’est qu’ils ne peuvent se remuer, ni se faire craindre qu’avec les Indes, des armées, et des canons, et vous êtes redoutable tout seul et tout nu, et votre repos même fait peur aux ennemis de la France.
Cela eſtant abſolument veritable (comme perſonne n’en peut douter) il eſt temps que le Roy ſe ſerue tout à fait d’vn homme que la neceſſité de ſon Eſtat luy demande, & qu’il n’employe plus les mal-heureux entre les mains de qui les occaſions ſe vieilliroient, & ſa bonne fortune ſe laiſseroit perdre.	Cela étant absolument véritable (comme personne n’en peut douter) il est temps que le Roi se serve tout à fait d’un homme que la nécessité de son État lui demande, et qu’il n’emploie plus les malheureux entre les mains de qui les occasions se vieilliraient, et sa bonne fortune se laisserait perdre.
C’eſt aſsez que le Rhin & les Alpes ayent eſté Françoiſes, & qu’on parle noſtre langue ſur les terres de nos voyſins, ſans qu’il faille que dans le cœur de ce Royaume il y ait touſiours vn peuple eſtranger qui ne veut pas ſouffrir nos anciennes loix, ny reconnoiſtre le Dieu de Sainct Louys, & de Charlemagne.	C’est assez que le Rhin et les Alpes aient été Françaises, et qu’on parle nôtre langue sur les terres de nos voisins, sans qu’il faille que dans le cœur de ce Royaume il y ait toujours un peuple étranger qui ne veut pas souffrir nos anciennes lois, ni reconnaître le Dieu de saint Louis, et de Charlemagne.
